total_cas,new_cas,stringency,popul,med_age,aged_65,aged_70,poverty,expectancy,hospital_beds,sanitizer_facil
488529,1895,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
490476,1947,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
492594,2118,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
495075,2481,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
497510,2435,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
499517,2007,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
502416,2899,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
504293,1877,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
506701,2408,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
508824,2123,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
511921,3097,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
514338,2417,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
516770,2432,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
519291,2521,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
521211,1920,64.35,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
523011,1800,60.65,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
524783,1772,60.65,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
527146,2363,57.87,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
528891,1745,57.87,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
530818,1927,57.87,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
532412,1594,57.87,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
534041,1629,57.87,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
535914,1873,57.87,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
537477,1563,57.87,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
539387,1910,57.87,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
541031,1644,57.87,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
543214,2183,57.87,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
544813,1599,57.87,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
546428,1615,57.87,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
547648,1220,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
549032,1384,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
550540,1508,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
551842,1302,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
553128,1286,50.46,220892331,23.5,4.495,2.78,4,67.27,0.6,59.607
